status;raw_title;search_title;author_hint;best_title;best_subtitle;best_authors;best_publisher;best_isbn;best_year;best_page_count;source_name;source_url;confidence;source_query
sem-match-forte;"ACOLHIMENTO FRATERNO NA CASA ESPÍRITA";"ACOLHIMENTO FRATERNO NA CASA ESPÍRITA";;"Qualidade Total Na Casa Espírita";;"Ricardo Rêgo Barros";"Clube de Autores";;2021;274;"Google Books";http://books.google.com.br/books?id=RnU3EAAAQBAJ&dq=ACOLHIMENTO+FRATERNO+NA+CASA+ESP%C3%8DRITA&hl=&as_pt=BOOKS&source=gbs_api;0.6593;"ACOLHIMENTO FRATERNO NA CASA ESPÍRITA"
sem-match-forte;"ACONCHEGO MENSAGENS DE ESPIRITUALIDADE";"ACONCHEGO MENSAGENS DE ESPIRITUALIDADE";;"Mensagens Espirituais dos Orixás: Obaluayê";;"Jaqueline Costa Santos";"Jaqueline Costa Santos";9798342035002;2024;84;"Google Books";https://play.google.com/store/books/details?id=gUlyEQAAQBAJ&source=gbs_api;0.4403;"ACONCHEGO MENSAGENS DE ESPIRITUALIDADE"
sem-match-forte;"ACONTECEU NA CASA ESPÍRITA";"ACONTECEU NA CASA ESPÍRITA";;"Qualidade Total Na Casa Espírita";;"Ricardo Rêgo Barros";"Clube de Autores";;2021;274;"Google Books";http://books.google.com.br/books?id=RnU3EAAAQBAJ&dq=ACONTECEU+NA+CASA+ESP%C3%8DRITA&hl=&as_pt=BOOKS&source=gbs_api;0.7126;"ACONTECEU NA CASA ESPÍRITA"
sem-match-forte;"Adiantamento camisa";"Adiantamento camisa";;"Advances in Cognitive Sociolinguistics";;"Dirk Geeraerts, Gitte Kristiansen, Yves Peirsman";"Walter de Gruyter";9783110226461;2010;333;"Google Books";https://play.google.com/store/books/details?id=0zdFB8826zoC&source=gbs_api;0.2175;"Adiantamento camisa"
sem-match-forte;"AGENDA (LUXO)";"AGENDA (LUXO)";;"A Experiência Do Cliente No Mercado Imobiliário De Luxo";;"Lucas Chacur, Dsc & Murillo Dias, Dsc";"Clube de Autores";9786526670231;2026;80;"Google Books";https://play.google.com/store/books/details?id=1O3FEQAAQBAJ&source=gbs_api;0.3779;"AGENDA (LUXO)"
sem-match-forte;"AGENDA CHICO XAVIER";"AGENDA CHICO XAVIER";;"Agenda Cristã";;"Chico Xavier";;;2015;;"Open Library";https://openlibrary.org/works/OL24146319W;0.5142;"AGENDA CHICO XAVIER"
sem-match-forte;"AGENDA TODO DIA (BOLSO)";"AGENDA TODO DIA";;"Agenda Para Todos Los Dias";;"Juan Carlos Equillor";;;;;"Open Library";https://openlibrary.org/works/OL10262762W;0.5803;"AGENDA TODO DIA"
sem-match-forte;"AGENDA TODO DIA CAPA DURA";"AGENDA TODO DIA CAPA DURA";;"Diário - O último ano sabático de Henri J. M. Nouwen";;"Henri J. M. Nouwen";"Edicoes Loyola";9788515024995;2003;300;"Google Books";http://books.google.com.br/books?id=-39A7ePBix8C&dq=AGENDA+TODO+DIA+CAPA+DURA&hl=&as_pt=BOOKS&source=gbs_api;0.1868;"AGENDA TODO DIA CAPA DURA"
revisar;"ALÉM DAS DIFERENÇAS";"ALÉM DAS DIFERENÇAS";;"As Leis da Fé";"Um mundo além das diferenças";"Ryuho Okawa";"IRH Press do Brasil";9786587485133;2021;207;"Google Books";https://play.google.com/store/books/details?id=Wa4xEAAAQBAJ&source=gbs_api;0.7662;"intitle:""ALÉM DAS DIFERENÇAS"""
sem-match-forte;"ALMAS AFINS VOL.3";"ALMAS AFINS VOL.3";;"Leis - Vol. III";;Platão;"Edições 70";9789724422558;2019;302;"Google Books";https://play.google.com/store/books/details?id=5GmfDwAAQBAJ&source=gbs_api;0.4371;"ALMAS AFINS VOL.3"
